NT Book	NT Chapter	NT Verse	Greek text (NT)	Text re-use typology 1	Text re-use typology 2	Text re-use typology 3	Text re-use typology 4	Ps (LXX)	Ps Chapter	Ps Verse	Greek text (Psalms)	French translation (PS) Giguet	French translation (NT) TOB	Source (PNT = The Psalms in the New Testament, NA= Nestle-Aland, si vide, trouvé sur internet)				
Acts	10	35-36	"
ἀλλ’ ἐν παντὶ ἔθνει ὁ φοβούμενος αὐτὸν καὶ ἐργαζόμενος δικαιοσύνην δεκτὸς αὐτῷ ἐστιν. 36
τὸν λόγον [ὃν] ἀπέστειλεν τοῖς υἱοῖς ’Ισραὴλ εὐαγγελιζόμενος εἰρήνην διὰ ’Ιησοῦ Χριστοῦ – οὗτός ἐστιν πάντων κύριος –"	echo	implicit	thematic and semantic, lexical	NULL	Psalms	147	7-9	"ἀποστελεῖ τὸν λόγον αὐτοῦ καὶ τήξει αὐτά· πνεύσει τὸ πνεῦμα αὐτοῦ, καὶ ῥυήσεται ὕδατα. 8 ἀπαγγέλλων τὸν λόγον αὐτοῦ τῷ Ιακωβ, δικαιώματα καὶ κρίματα αὐτοῦ τῷ Ισραηλ. 9 οὐκ ἐποίησεν οὕτως παντὶ ἔθνει καὶ τὰ κρίματα αὐτοῦ οὐκ ἐδήλωσεν αὐτοῖς.

"	Il enverra sa parole, et la glace fondra ; il exhalera son souffle, et les eaux couleront. 8 C'est lui qui annonce sa parole à Jacob, ses ordonnances et ses jugements à Israël. 9 Il n'a point fait de même pour toutes les nations, et il ne leur a pas révélé ses commandements.	"

et qu'en toute nation, quiconque le craint et pratique la justice trouve accueil auprès de lui. 36 Son message, il l'a envoyé aux Israélites: la bonne nouvelle de la paix par Jésus Christ, lui qui est le Seigneur de tous les hommes.
"	NA				
Acts	11	23	ὃς παραγενόμενος καὶ ἰδὼν τὴν χάριν [τὴν] τοῦ θεοῦ ἐχάρη καὶ παρεκάλει πάντας τῇ προθέσει τῇ καρδίας προσμένειν τῷ κυρίῳ,	coincidence	implicit	NULL	LXX and not TM	Psalms	9	38	τὴν ἐπιθυμίαν τῶν πενήτων εἰσήκουσεν κύριος, τὴν ἑτοιμασίαν τῆς καρδίας αὐτῶν προσέσχεν τὸ οὖς σου	Le Seigneur a exaucé le désir des pauvres ; ton oreille a entendu la préparation de leur cœur.	"

Quand il vit sur place la grâce de Dieu à l'œuvre, il fut dans la joie et il les pressait tous de rester du fond du cœur attachés au Seigneur."	NA				
Acts	12	17	"
κατασείσας δὲ αὐτοῖς τῇ χειρὶ σιγᾶν διηγήσατο [αὐτοῖς] πῶς ὁ κύριος αὐτὸν ἐξήγαγεν ἐκ τῆς φυλακῆς, εἶπέν τε, ’Απαγγείλατε ’Ιακώβῳ καὶ τοῖς ἀδελφοῖς ταῦτα. καὶ ἐξελθὼν ἐπορεύθη εἰς ἕτερον τόπον."	echo	implicit	thematic	distant	Psalms	106	10-16	καθημένους ἐν σκότει καὶ σκιᾷ θανάτου, πεπεδημένους ἐν πτωχείᾳ καὶ σιδήρῳ, 11ὅτι παρεπίκραναν τὰ λόγια τοῦ θεοῦ καὶ τὴν βουλὴν τοῦ ὑψίστου παρώξυναν, 12 καὶ ἐταπεινώθη ἐν κόποις ἡ καρδία αὐτῶν, ἠσθένησαν, καὶ οὐκ ἦν ὁ βοηθῶν· 13 καὶ ἐκέκραξαν πρὸς κύριον ἐν τῷ θλίβεσθαι αὐτούς, καὶ ἐκ τῶν ἀναγκῶν αὐτῶν ἔσωσεν αὐτοὺς 14 καὶ ἐξήγαγεν αὐτοὺς ἐκ σκότους καὶ σκιᾶς θανάτου καὶ τοὺς δεσμοὺς αὐτῶν διέρρηξεν. 15 ἐξομολογησάσθωσαν τῷ κυρίῳ τὰ ἐλέη αὐτοῦ καὶ τὰ θαυμάσια αὐτοῦ τοῖς υἱοῖς τῶν ἀνθρώπων, 16 ὅτι συνέτριψεν πύλας χαλκᾶς καὶ μοχλοὺς σιδηροῦς συνέκλασεν.	Assis dans les ténèbres et à l'ombre de la mort, ils étaient enchaînés par la pauvreté et le fer ; 11 Parce qu'ils avaient provoqué les voix du Seigneur, et avaient irrité le conseil du Très-Haut. 12 Et leur cœur fut humilié dans leurs labeurs, et ils furent sans force, et nul n'était là pour les secourir. 13 Et dans leurs tribulations ils crièrent au Seigneur, et il les retira de leur détresse. 14 Et il les tira des ténèbres et de l'ombre de la mort, et brisa leurs chaînes. 15 Qu'ils rendent gloire au Seigneur de sa miséricorde et de ses prodiges en faveur des fils des hommes. 16 Car il a fait voler en éclats les portes d'airain ; il a brisé les verrous de fer.	"

De la main il leur fit signe de se taire, leur raconta comment le Seigneur l'avait fait sortir de prison et conclut: Allez l'annoncer à Jacques et aux frères. Puis il s'en alla et se mit en route pour une autre destination."	NA				
Acts	13	22	"
καὶ μεταστήσας αὐτὸν ἤγειρεν τὸν Δαυὶδ αὐτοῖς εἰς βασιλέα, ᾧ καὶ εἶπεν μαρτυρήσας, Εὗρον Δαυὶδ τὸν τοῦ ’Ιεσσαί, ἄνδρα κατὰ τὴν καρδίαν μου, ὃς ποιήσει πάντα τὰ θελήματά μου."	echo	implicit	thematic		Psalms	88	21	"	
εὗρον Δαυιδ τὸν δοῦλόν μου, ἐν ἐλαίῳ ἁγίῳ μου ἔχρισα αὐτόν."	"	
J'ai trouvé David, mon serviteur ; je l'ai oint en ma sainte miséricorde."	Après l'avoir déposé, Dieu leur a suscité David comme roi. C'est à lui qu'il a rendu ce témoignage: J'ai trouvé David, fils de Jessé, un homme selon mon cœur, qui accomplira toutes mes volontés.	PNT Swete NA				
Acts	13	33	ὅτι ταύτην ὁ θεὸς ἐκπεπλήρωκεν τοῖς τέκνοις ἡμῖν ἀναστήσας ’Ιησοῦν, ὡς καὶ ἐν τῷ ψαλμῷ γέγραπται τῷ δευτέρῳ, Υἱός μου εἶ σύ, ἐγὼ σήμερον γεγέννηκά σε.	quotation	explicit	litteral		Psalms	2	7	διαγγέλλων τὸ πρόσταγμα κυρίου Κύριος εἶπεν πρός με Υἱός μου εἶ σύ, ἐγὼ σήμερον γεγέννηκά σε·	Et j'annonce les préceptes du Seigneur.Le Seigneur m'a dit : Tu es mon fils ; aujourd'hui je t'ai engendré.	Dieu l'a pleinement accomplie à l'égard de nous, leurs enfants, quand il a ressuscité Jésus, comme il est écrit au psaume second: Tu es mon fils, moi, aujourd'hui, je t'ai engendré.	PNT				
Acts	13	35	διότι καὶ ἐν ἑτέρῳ λέγει, Οὐ δώσεις τὸν ὅσιόν σου ἰδεῖν διαφθοράν.	quotation	explicit	litteral		Psalms	15	10	ὅτι οὐκ ἐγκαταλείψεις τὴν ψυχήν μου εἰς ᾅδην οὐδὲ δώσεις τὸν ὅσιόν σου ἰδεῖν διαϕθοράν.	Parce que tu ne laisseras pas mon âme aux enfers ; tu ne permettras pas que ton Saint voie la corruption.	C'est pourquoi, il dit aussi dans un autre passage: Tu ne laisseras pas ton Saint connaître la décomposition.	PNT NA				
Acts	13	26	"
῎Ανδρες ἀδελφοί, υἱοὶ γένους ’Αβραὰμ καὶ οἱ ἐν ὑμῖν φοβούμενοι τὸν θεόν, ἡμῖν ὁ λόγος τῆς σωτηρίας ταύτης ἐξαπεστάλη."	echo	implicit	thematic and semantic		Psalms	106	20	ἀπέστειλεν τὸν λόγον αὐτοῦ καὶ ἰάσατο αὐτοὺς καὶ ἐρρύσατο αὐτοὺς ἐκ τῶν διαϕθορῶν αὐτῶν.	Et il envoya sa parole, et il les a guéris, et il les arrachés de leur perdition.	Frères, que vous soyez des fils de la race d'Abraham ou de ceux, parmi vous, qui craignent Dieu, c'est à nous que cette parole de salut a été envoyée.	PNT NA				
Acts	14	15	"
καὶ λέγοντες, ῎Ανδρες, τί ταῦτα ποιεῖτε; καὶ ἡμεῖς ὁμοιοπαθεῖς ἐσμεν ὑμῖν ἄνθρωποι, εὐαγγελιζόμενοι ὑμᾶς ἀπὸ τούτων τῶν ματαίων ἐπιστρέφειν ἐπὶ θεὸν ζῶντα ὃς ἐποίησεν τὸν οὐρανὸν καὶ τὴν γῆν καὶ τὴν θάλασσαν καὶ πάντα τὰ ἐν αὐτοῖς·"	coincidence	implicit	NULL, litteral	with //	Psalms	41	3	ἐδίψησεν ἡ ψυχή μου πρὸς τὸν θεὸν τὸν ζῶντα· πότε ἥξω καὶ ὀϕθήσομαι τῷ προσώπῳ τοῦ θεοῦ;	Mon âme a eu soif du Dieu vivant ; quand viendrai-je ? quand paraîtrai-je devant la face de Dieu ?	"

Oh! que faites-vous là? disaient-ils. Nous aussi nous sommes des hommes, au même titre que vous! La bonne nouvelle que nous vous annonçons, c'est d'abandonner ces sottises pour vous tourner vers le Dieu vivant qui a créé le ciel, la terre, la mer et tout ce qui s'y trouve."	NA				
Acts	14	17	καίτοι οὐκ ἀμάρτυρον αὑτὸν ἀφῆκεν ἀγαθουργῶν, οὐρανόθεν ὑμῖν ὑετοὺς διδοὺς καὶ καιροὺς καρποφόρους, ἐμπιπλῶν τροφῆς καὶ εὐφροσύνης τὰς καρδίας ὑμῶν.	echo	implicit	thematic	NULL	Psalms	144	16	ἀνοίγεις σὺ τὴν χεῖρά σου καὶ ἐμπιπλᾷς πᾶν ζῷον εὐδοκίας.	Tu ouvres les mains, et tu remplis de bénédiction tout être animé.	"

sans manquer pourtant de leur témoigner sa bienfaisance, puisqu'il vous a envoyé du ciel pluies et saisons fertiles, comblant vos cœurs de nourriture et de satisfaction."	NA				
Acts	14	17	καίτοι οὐκ ἀμάρτυρον αὑτὸν ἀφῆκεν ἀγαθουργῶν, οὐρανόθεν ὑμῖν ὑετοὺς διδοὺς καὶ καιροὺς καρποφόρους, ἐμπιπλῶν τροφῆς καὶ εὐφροσύνης τὰς καρδίας ὑμῶν.	echo	implicit	thematic	distant	Psalms	146	8	τῷ περιβάλλοντι τὸν οὐρανὸν ἐν νεϕέλαις, τῷ ἑτοιμάζοντι τῇ γῇ ὑετόν,τῷ ἐξανατέλλοντι ἐν ὄρεσι χόρτον[καὶ χλόην τῇ δουλείᾳ τῶν ἀνθρώπων,]	C'est lui qui revêt le ciel de nuages, lui qui prépare de la pluie pour la terre ;lui qui fait naître de l'herbe dans les montagnes,et du fourrage pour le service de l'homme.	"

sans manquer pourtant de leur témoigner sa bienfaisance, puisqu'il vous a envoyé du ciel pluies et saisons fertiles, comblant vos cœurs de nourriture et de satisfaction."	NA				
Acts	14	15	καὶ λέγοντες, ῎Ανδρες, τί ταῦτα ποιεῖτε; καὶ ἡμεῖς ὁμοιοπαθεῖς ἐσμεν ὑμῖν ἄνθρωποι, εὐαγγελιζόμενοι ὑμᾶς ἀπὸ τούτων τῶν ματαίων ἐπιστρέφειν ἐπὶ θεὸν ζῶντα ὃς ἐποίησεν τὸν οὐρανὸν καὶ τὴν γῆν καὶ τὴν θάλασσαν καὶ πάντα τὰ ἐν αὐτοῖς·	quotation	implicit	litteral		Psalms	145	6	τὸν ποιήσαντα τὸν οὐρανὸν καὶ τὴν γῆν, τὴν θάλασσαν καὶ πάντα τὰ ἐν αὐτοῖς,τὸν ϕυλάσσοντα ἀλήθειαν εἰς τὸν αἰῶνα,	"Qui a créé le ciel et la terre, et la mer, et tout ce qu'ils renferment ;
Qui garde la vérité dans tous les siècles"	Oh! que faites-vous là? disaient-ils. Nous aussi nous sommes des hommes, au même titre que vous! La bonne nouvelle que nous vous annonçons, c'est d'abandonner ces sottises pour vous tourner vers le Dieu vivant qui a créé le ciel, la terre, la mer et tout ce qui s'y trouve.	NA				
Acts	16	26	"
ἄφνω δὲ σεισμὸς ἐγένετο μέγας ὥστε σαλευθῆναι τὰ θεμέλια τοῦ δεσμωτηρίου, ἠνεῴχθησαν δὲ παραχρῆμα αἱ θύραι πᾶσαι, καὶ πάντων τὰ δεσμὰ ἀνέθη."	echo	implicit	thematic and semantic	NULL	Psalms	106	13-16	13 καὶ ἐκέκραξαν πρὸς κύριον ἐν τῷ θλίβεσθαι αὐτούς, καὶ ἐκ τῶν ἀναγκῶν αὐτῶν ἔσωσεν αὐτοὺς 14 καὶ ἐξήγαγεν αὐτοὺς ἐκ σκότους καὶ σκιᾶς θανάτου καὶ τοὺς δεσμοὺς αὐτῶν διέρρηξεν. 15 ἐξομολογησάσθωσαν τῷ κυρίῳ τὰ ἐλέη αὐτοῦ καὶ τὰ θαυμάσια αὐτοῦ τοῖς υἱοῖς τῶν ἀνθρώπων, 16 ὅτι συνέτριψεν πύλας χαλκᾶς καὶ μοχλοὺς σιδηροῦς συνέκλασεν.	13 Et dans leurs tribulations ils crièrent au Seigneur, et il les retira de leur détresse. 14 Et il les tira des ténèbres et de l'ombre de la mort, et brisa leurs chaînes. 15 Qu'ils rendent gloire au Seigneur de sa miséricorde et de ses prodiges en faveur des fils des hommes. 16 Car il a fait voler en éclats les portes d'airain ; il a brisé les verrous de fer.	"

Tout d'un coup, il y eut un tremblement de terre si violent que les fondations du bâtiment en furent ébranlées. Toutes les portes s'ouvrirent à l'instant même, et les entraves de tous les prisonniers sautèrent."	NA				
Acts	17	25	οὐδὲ ὑπὸ χειρῶν ἀνθρωπίνων θεραπεύεται προσδεόμενός τινος, αὐτὸς διδοὺς πᾶσι ζωὴν καὶ πνοὴν καὶ τὰ πάντα·	echo	implicit	thematic	distant	Psalms	49	9-13	οὐ δέξομαι ἐκ τοῦ οἴκου σου μόσχους οὐδὲ ἐκ τῶν ποιμνίων σου χιμάρους.	Je ne prendrai pas de bœufs de ta maison, ni de boucs de tes menus troupeaux. 10 Car toutes les bêtes de la forêt m'appartiennent, et le bétail des montagnes et les taureaux. 11Je connais tous les oiseaux du ciel, et la beauté des champs est à moi. 12Si j'ai faim, je ne te le dis pas ; car toute la terre habitée m'appartient et sa plénitude. 13 Est-ce que je mange la chair des taureaux ? est-ce que je bois le sang des boucs ?	"

et son service non plus ne demande pas de mains humaines, comme s'il avait besoin de quelque chose, lui qui donne à tous la vie et le souffle, et tout le reste."	NA				
Acts	17	26	ἐποίησέν τε ἐξ ἑνὸς πᾶν ἔθνος ἀνθρώπων κατοικεῖν ἐπὶ παντὸς προσώπου τῆς γῆς, ὁρίσας προστεταγμένους καιροὺς καὶ τὰς ὁροθεσίας τῆς κατοικίας αὐτῶν,	echo	implicit	thematic and semantic	distant	Psalms	73	17	"
σὺ ἐποίησας πάντα τὰ ὅρια τῆς γῆς· θέρος καὶ ἔαρ, σὺ ἔπλασας αὐτά.
"	Tu as fait toutes les limites de la terre ; tu as fait l'été et le printemps.	"

A partir d'un seul il a créé tous les peuples pour habiter toute la surface de la terre, il a défini des temps fixes et tracé les limites de l'habitat des hommes:"	NA				
Acts	17	27	ζητεῖν τὸν θεὸν εἰ ἄρα γε ψηλαφήσειαν αὐτὸν καὶ εὕροιεν, καί γε οὐ μακρὰν ἀπὸ ἑνὸς ἑκάστου ἡμῶν ὑπάρχοντα.	echo	implicit	thematic and semantic	NULL	Psalms	144	18	ἐγγὺς κύριος πᾶσιν τοῖς ἐπικαλουμένοις αὐτόν, πᾶσι τοῖς ἐπικαλουμένοις αὐτὸν ἐν ἀληθείᾳ.	Le Seigneur est proche de ceux qui l'invoquent, de tous ceux qui l'invoquent en vérité.	"

c'était pour qu'ils cherchent Dieu; peut-être pourraient-ils le découvrir en tâtonnant, lui qui, en réalité, n'est pas loin de chacun de nous."	NA				
Acts	17	31	καθότι ἔστησεν ἡμέραν ἐν ᾗ μέλλει κρίνειν τὴν οἰκουμένην ἐν δικαιοσύνῃ ἐν ἀνδρὶ ᾧ ὥρισεν, πίστιν παρασχὼν πᾶσιν ἀναστήσας αὐτὸν ἐκ νεκρῶν.	quotation	implicit	litteral	with //	Psalms	9	9	καὶ αὐτὸς κρινεῖ τὴν οἰκουμένην ἐν δικαιοσύνῃ, κρινεῖ λαοὺς ἐν εὐθύτητι.	Et il jugera lui-même toute la terre selon l'équité ; il jugera les peuples selon la justice.	"

Il a en effet fixé un jour où il doit juger le monde avec justice par l'homme qu'il a désigné, comme il en a donné la garantie à tous en le ressuscitant d'entre les morts."	NA				
Acts	17	31	"
καθότι ἔστησεν ἡμέραν ἐν ᾗ μέλλει κρίνειν τὴν οἰκουμένην ἐν δικαιοσύνῃ ἐν ἀνδρὶ ᾧ ὥρισεν, πίστιν παρασχὼν πᾶσιν ἀναστήσας αὐτὸν ἐκ νεκρῶν."	quotation	implicit	litteral	with //	Psalms	95	13	"πρὸ προσώπου κυρίου, ὅτι ἔρχεται, ὅτι ἔρχεται κρῖναι τὴν γῆν·
πρὸ προσώπου κυρίου, ὅτι ἔρχεται, ὅτι ἔρχεται κρῖναι τὴν γῆν·κρινεῖ τὴν οἰκουμένην ἐν δικαιοσύνῃ καὶ λαοὺς ἐν τῇ ἀληθείᾳ αὐτοῦ."	Devant la face du Seigneur ; car il vient, car il vient juger la terre.Il jugera le monde selon sa justice, et les peuples selon sa vérité.	"

Il a en effet fixé un jour où il doit juger le monde avec justice par l'homme qu'il a désigné, comme il en a donné la garantie à tous en le ressuscitant d'entre les morts."	NA				
Acts	17	31	"
καθότι ἔστησεν ἡμέραν ἐν ᾗ μέλλει κρίνειν τὴν οἰκουμένην ἐν δικαιοσύνῃ ἐν ἀνδρὶ ᾧ ὥρισεν, πίστιν παρασχὼν πᾶσιν ἀναστήσας αὐτὸν ἐκ νεκρῶν."	quotation	implicit	litteral	with //	Psalms	97	9	ὅτι ἥκει κρῖναι τὴν γῆν·κρινεῖ τὴν οἰκουμένην ἐν δικαιοσύνῃ καὶ λαοὺς ἐν εὐθύτητι.	Car il est venu juger la terre.Il jugera le monde selon la justice, et les peuples selon l'équité.	"

Il a en effet fixé un jour où il doit juger le monde avec justice par l'homme qu'il a désigné, comme il en a donné la garantie à tous en le ressuscitant d'entre les morts."	NA				
Acts	20	28	προσέχετε ἑαυτοῖς καὶ παντὶ τῷ ποιμνίῳ, ἐν ᾧ ὑμᾶς τὸ πνεῦμα τὸ ἅγιον ἔθετο ἐπισκόπους, ποιμαίνειν τὴν ἐκκλησίαν τοῦ θεοῦ, ἣν περιεποιήσατο διὰ τοῦ αἵματος τοῦ ἰδίου.	echo	implicit	thematic and semantic	among other verses	Psalms	73	2	μνήσθητι τῆς συναγωγῆς σου, ἧς ἐκτήσω ἀπ’ ἀρχῆς·ἐλυτρώσω ῥάβδον κληρονομίας σου, ὄρος Σιων τοῦτο, ὃ κατεσκήνωσας ἐν αὐτῷ.	Souviens-toi du troupeau que, dès le commencement, tu as acquis ;tu as racheté le rameau de ton héritage, cette montagne de Sion, où tu as dressé ton tabernacle.	"

Prenez soin de vous-mêmes et de tout le troupeau dont l'Esprit Saint vous a établis les gardiens, soyez les bergers de l'Eglise de Dieu, qu'il s'est acquise par son propre sang."	NA				
Acts	28	28	"
γνωστὸν οὖν ἔστω ὑμῖν ὅτι τοῖς ἔθνεσιν ἀπεστάλη τοῦτο τὸ σωτήριον τοῦ θεοῦ· αὐτοὶ καὶ ἀκούσονται."	echo	implicit	lexical	distant	Psalms	97	3	ἐμνήσθη τοῦ ἐλέους αὐτοῦτῷ Ιακωβκαὶ τῆς ἀληθείας αὐτοῦ τῷ οἴκῳ Ισραηλ·εἴδοσαν πάντα τὰ πέρατα τῆς γῆς τὸ σωτήριον τοῦ θεοῦ ἡμῶν.	"Il s'est souvenu de sa miséricorde
pour Jacob,et de sa vérité en faveur de la maison d'Israël.Tous les confins de la terre ont vu le salut de notre Dieu."	"

Sachez-le donc: c'est aux païens qu'a été envoyé ce salut de Dieu; eux, ils écouteront."	NA				
Acts	28	28	γνωστὸν οὖν ἔστω ὑμῖν ὅτι τοῖς ἔθνεσιν ἀπεστάλη τοῦτο τὸ σωτήριον τοῦ θεοῦ· αὐτοὶ καὶ ἀκούσονται.	echo	implicit	thematic and semantic	among other verses	Psalms	66	3	τοῦ γνῶναι ἐν τῇ γῇ τὴν ὁδόν σου, ἐν πᾶσιν ἔθνεσιν τὸ σωτήριόν σου.	Pour qu'en cette terre nous connaissions ta voie, et que le salut soit parmi toutes les nations.	"

Sachez-le donc: c'est aux païens qu'a été envoyé ce salut de Dieu; eux, ils écouteront."	NA				
Colossians	3	1	"
Εἰ οὖν συνηγέρθητε τῷ Χριστῷ, τὰ ἄνω ζητεῖτε, οὗ ὁ Χριστός ἐστιν ἐν δεξιᾷ τοῦ θεοῦ καθήμενος·
"	echo	implicit	thematic and semantic		Psalms	109	1	Τῷ Δαυιδ ψαλμός. Εἶπεν ὁ κύριος τῷ κυρίῳ μου Κάθου ἐκ δεξιῶν μου, ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου.	[Psaume de David.] Le Seigneur a dit à mon Seigneur : Assieds-toi à ma droite, jusqu'à ce que j'aie fait de tes ennemis l'escabeau de tes pieds.	Du moment que vous êtes ressuscités avec le Christ, recherchez ce qui est en haut, là où se trouve le Christ, assis à la droite de Dieu;	NA				
Ep	1	10	"
εἰς οἰκονομίαν τοῦ πληρώματος τῶν καιρῶν, ἀνακεφαλαιώσασθαι τὰ πάντα ἐν τῷ Χριστῷ, τὰ ἐπὶ τοῖς οὐρανοῖς καὶ τὰ ἐπὶ τῆς γῆς· ἐν αὐτῷ,
"	echo	implicit	thematic and semantic	among other verses	Psalms	145	6	τὸν ποιήσαντα τὸν οὐρανὸν καὶ τὴν γῆν, τὴν θάλασσαν καὶ πάντα τὰ ἐν αὐτοῖς,τὸν ϕυλάσσοντα ἀλήθειαν εἰς τὸν αἰῶνα,	Qui a créé le ciel et la terre, et la mer, et tout ce qu'ils renferment ; Qui garde la vérité dans tous les siècles	"

pour mener les temps à leur accomplissement: réunir l'univers entier sous un seul chef, le Christ, ce qui est dans les cieux et ce qui est sur la terre."	automatic detection				
Ephesians	1	20	"
ἣν ἐνήργησεν ἐν τῷ Χριστῷ ἐγείρας αὐτὸν ἐκ νεκρῶν, καὶ καθίσας ἐν δεξιᾷ αὐτοῦ ἐν τοῖς ἐπουρανίοις
"	quotation	implicit	modified	prophecy	Psalms	109	1	Τῷ Δαυιδ ψαλμός.Εἶπεν ὁ κύριος τῷ κυρίῳ μου Κάθου ἐκ δεξιῶν μου,ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου.	[Psaume de David.]Le Seigneur a dit à mon Seigneur : Assieds-toi à ma droite,jusqu'à ce que j'aie fait de tes ennemis l'escabeau de tes pieds.	"

il les a mises en œuvre dans le Christ, lorsqu'il l'a ressuscité des morts et fait asseoir à sa droite dans les cieux,"	NA				
Ephesians	1	20-23	"ἣν ἐνήργησεν ἐν τῷ Χριστῷ ἐγείρας αὐτὸν ἐκ νεκρῶν, καὶ καθίσας ἐν δεξιᾷ αὐτοῦ ἐν τοῖς ἐπουρανίοις
 21 ὑπεράνω πάσης ἀρχῆς καὶ ἐξουσίας καὶ δυνάμεως καὶ κυριότητος καὶ παντὸς ὀνόματος ὀνομαζομένου οὐ μόνον ἐν τῷ αἰῶνι τούτῳ ἀλλὰ καὶ ἐν τῷ μέλλοντι·
22 καὶ πάντα ὑπέταξεν ὑπὸ τοὺς πόδας αὐτοῦ, καὶ αὐτὸν ἔδωκεν κεφαλὴν ὑπὲρ πάντα τῇ ἐκκλησίᾳ,
23 ἥτις ἐστὶν τὸ σῶμα αὐτοῦ, τὸ πλήρωμα τοῦ τὰ πάντα ἐν πᾶσιν πληρουμένου."	echo	implicit	thematic and semantic		Psalms	109	1	Τῷ Δαυιδ ψαλμός. Εἶπεν ὁ κύριος τῷ κυρίῳ μου Κάθου ἐκ δεξιῶν μου, ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου.	[Psaume de David.] Le Seigneur a dit à mon Seigneur : Assieds-toi à ma droite, jusqu'à ce que j'aie fait de tes ennemis l'escabeau de tes pieds.	"

il les a mises en œuvre dans le Christ, lorsqu'il l'a ressuscité des morts et fait asseoir à sa droite dans les cieux, 21 bien au-dessus de toute Autorité, Pouvoir, Puissance, Souveraineté et de tout autre nom qui puisse être nommé, non seulement dans ce monde, mais encore dans le monde à venir. 22 Oui, il a tout mis sous ses pieds et il l'a donné, au sommet de tout, pour tête à l'Eglise 23 qui est son corps, la plénitude de celui que Dieu remplit lui-même totalement."	PNT NA				
Ephesians	1	22	22 καὶ πάντα ὑπέταξεν ὑπὸ τοὺς πόδας αὐτοῦ, καὶ αὐτὸν ἔδωκεν κεφαλὴν ὑπὲρ πάντα τῇ ἐκκλησίᾳ,	quotation	implicit	litteral		Psalms	8	7	7 καὶ κατέστησας αὐτὸν ἐπὶ τὰ ἔργα τῶν χειρῶν σου,πάντα ὑπέταξας ὑποκάτω τῶν ποδῶν αὐτοῦ,	Et tu l'as mis à la tête des œuvres de tes mains ! Tu as placé toutes choses sous ses pieds.		PNT NA				
Ephesians	3	15	ἐξ οὗ πᾶσα πατριὰ ἐν οὐρανοῖς καὶ ἐπὶ γῆς ὀνομάζεται,	echo	implicit	thematic	distant	Psalms	146	4	ὁ ἀριθμῶν πλήθη ἄστρων, καὶ πᾶσιν αὐτοῖς ὀνόματα καλῶν	Il dénombre la multitude des étoiles, et toutes, il les appelle par leur nom.	"

de qui toute famille tient son nom, au ciel et sur la terre;"	NA				
Ephesians	4	8	διὸ λέγει, ’Αναβὰς εἰς ὕψος ᾐχμαλώτευσεν αἰχμαλωσίαν, ἔδωκεν δόματα τοῖς ἀνθρώποις.	quotation	explicit	modified	long	Psalms	67	19	ἀνέβης εἰς ὕψος, ᾐχμαλώτευσας αἰχμαλωσίαν, ἔλαβες δόματα ἐν ἀνθρώπῳ, καὶ γὰρ ἀπειθοῦντες τοῦ κατασκηνῶσαι. κύριος ὁ θεὸς εὐλογητός,	Monté en haut, tu as emmené des captifs ; tu as reçu des présents pour les hommes, même pour abriter des infidèles. Béni soit le Seigneur Dieu ;	"

D'où cette parole: Monté dans les hauteurs, il a capturé des prisonniers; il a fait des dons aux hommes."	NA			"
ὅς ἐστιν ἐν δεξιᾷ [τοῦ] θεοῦ, πορευθεὶς εἰς οὐρανόν, ὑποταγέντων αὐτῷ ἀγγέλων καὶ ἐξουσιῶν καὶ δυνάμεων."	thematic proximity with Ep 1, 22
Ephesians	4	9	τὸ δὲ ’Ανέβη τί ἐστιν εἰ μὴ ὅτι καὶ κατέβη εἰς τὰ κατώτερα [μέρη] τῆς γῆς;	coincidence	implicit	lexical	distant	Psalms	62	10	αὐτοὶ δὲ εἰς μάτην ἐζήτησαν τὴν ψυχήν μου, εἰσελεύσονται εἰς τὰ κατώτατα τῆς γῆς·	Vainement ils ont cherché mon âme ; ils seront précipités dans les entrailles de la terre.	"

Il est monté! Qu'est-ce à dire, sinon qu'il est aussi descendu jusqu'en bas sur la terre?"	NA				
Ephesians	4	26	ὀργίζεσθε καὶ μὴ ἁμαρτάνετε· ὁ ἥλιος μὴ ἐπιδυέτω ἐπὶ [τῷ] παροργισμῷ ὑμῶν,	quotation	implicit	litteral, thematic and semantic	NULL	Psalms	4	5	ὀργίζεσθε καὶ μὴ ἁμαρτάνετε· λέγετε ἐν ταῖς καρδίαις ὑμῶν καὶ ἐπὶ ταῖς κοίταις ὑμῶν κατανύγητε. διάψαλμα.	Indignez-vous, mais ne péchez pas ; soyez touchés de componction de ce que vous méditez sur votre couche au fond de vos cœurs. Interlude.	"

Etes-vous en colère? ne péchez pas; que le soleil ne se couche pas sur votre ressentiment."	NA				
