NT_ref	NT_text	reuse_label	Ps_ref	Ps_text
Ac 14:17	et haec dicentes vix sedaverunt turbas ne sibi immolarent	echo	Ps 146:8	qui operit caelum nubibus et parat terrae pluviam  qui producit in montibus faenum  et herbam servituti hominum
Ac 14:15	qui in praeteritis generationibus dimisit omnes gentes ingredi in vias suas	quotation	Ps 145:6	qui fecit caelum et terram mare et omnia quae in eis
Ac 16:26	subito vero terraemotus factus est magnus ita ut moverentur fundamenta carceris et aperta sunt statim ostia omnia et universorum vincula soluta sunt	echo	Ps 106:13-16	et clamaverunt ad Dominum cum tribularentur et de necessitatibus eorum liberavit eos et eduxit eos de tenebris et umbra mortis et vincula eorum disrupit confiteantur Domino misericordiae eius et mirabilia eius filiis hominum quia contrivit portas aereas et vectes ferreos confregit
Ac 17:25	nec manibus humanis colitur indigens aliquo cum ipse det omnibus vitam et inspirationem et omnia	echo	Ps 49:9-13	non accipiam de domo tua vitulos neque de gregibus tuis hircos quoniam meae sunt omnes ferae silvarum iumenta in montibus et boves cognovi omnia volatilia caeli et pulchritudo agri mecum est si esuriero non dicam tibi meus est enim orbis terrae et plenitudo eius numquid manducabo carnes taurorum aut sanguinem hircorum potabo
Ac 17:26	fecitque ex uno omne genus hominum inhabitare super universam faciem terrae definiens statuta tempora et terminos habitationis eorum	echo	Ps 73:17	tu fecisti omnes terminos terrae aestatem et ver tu plasmasti ea
Ac 17:27	quaerere Deum si forte adtractent eum aut inveniant quamvis non longe sit ab unoquoque nostrum	echo	Ps 144:18	prope est Dominus omnibus invocantibus eum omnibus invocantibus eum in veritate
Ac 17:31	eo quod statuit diem in qua iudicaturus est orbem in aequitate in viro in quo statuit fidem praebens omnibus suscitans eum a mortuis	quotation	Ps 9:9	et ipse iudicabit orbem terrae in aequitate iudicabit populos in iustitia
Ac 17:31	eo quod statuit diem in qua iudicaturus est orbem in aequitate in viro in quo statuit fidem praebens omnibus suscitans eum a mortuis	quotation	Ps 95:13	a facie Domini quia venit quoniam venit iudicare terram  iudicabit orbem terrae in aequitate et populos in veritate sua
Ac 17:31	eo quod statuit diem in qua iudicaturus est orbem in aequitate in viro in quo statuit fidem praebens omnibus suscitans eum a mortuis	quotation	Ps 97:9	a conspectu Domini  quoniam venit iudicare terram  iudicabit orbem terrarum in iustitia et populos in aequitate
Ac 20:28	adtendite vobis et universo gregi in quo vos Spiritus Sanctus posuit episcopos regere ecclesiam Dei quam adquisivit sanguine suo	echo	Ps 73:2	memor esto congregationis tuae quam possedisti ab initio  redemisti virgam hereditatis tuae mons Sion in quo habitasti in eo
Ac 28:28	notum ergo sit vobis quoniam gentibus missum est hoc salutare Dei ipsi et audient	echo	Ps 97:3	recordatus est misericordiae suae   et veritatem suam domui Israhel  viderunt omnes termini terrae salutare Dei nostri
Ac 28:28	notum ergo sit vobis quoniam gentibus missum est hoc salutare Dei ipsi et audient	echo	Ps 66:3	ut cognoscamus in terra viam tuam in omnibus gentibus salutare tuum
Col 3:1	igitur si conresurrexistis Christo quae sursum sunt quaerite ubi Christus est in dextera Dei sedens	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Ep 1:10	in dispensationem plenitudinis temporum instaurare omnia in Christo quae in caelis et quae in terra sunt in ipso	echo	Ps 145:6	qui fecit caelum et terram mare et omnia quae in eis
Ep 1:20	quam operatus est in Christo suscitans illum a mortuis et constituens ad dexteram suam in caelestibus	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Ep 1:20-23	quam operatus est in Christo suscitans illum a mortuis et constituens ad dexteram suam in caelestibus supra omnem principatum et potestatem et virtutem et dominationem et omne nomen quod nominatur non solum in hoc saeculo sed et in futuro et omnia subiecit sub pedibus eius et ipsum dedit caput supra omnia ecclesiae quae est corpus ipsius plenitudo eius qui omnia in omnibus adimpletur	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Ep 1:22	et omnia subiecit sub pedibus eius et ipsum dedit caput supra omnia ecclesiae	quotation	Ps 8:7	et constituisti eum super opera manuum tuarum
Ep 3:15	ex quo omnis paternitas in caelis et in terra nominatur	echo	Ps 146:4	qui numerat multitudinem stellarum et omnibus eis nomina vocans
Ep 4:8	propter quod dicit ascendens in altum captivam duxit captivitatem dedit dona hominibus	quotation	Ps 67:19	ascendisti in altum cepisti captivitatem accepisti dona in hominibus  etenim non credentes inhabitare Dominum Deus
Ep 4:9	quod autem ascendit quid est nisi quia et descendit primum in inferiores partes terrae	coincidence	Ps 62:10	ipsi vero in vanum quaesierunt animam meam introibunt in inferiora terrae
Ep 4:26	irascimini et nolite peccare sol non occidat super iracundiam vestram	quotation	Ps 4:5	irascimini et nolite peccare quae dicitis in cordibus vestris in cubilibus vestris conpungimini diapsalma
Ep 4:26	irascimini et nolite peccare sol non occidat super iracundiam vestram	quotation	Ps 4:5	irascimini et nolite peccare quae dicitis in cordibus vestris in cubilibus vestris conpungimini diapsalma
Ep 4:8-10	propter quod dicit ascendens in altum captivam duxit captivitatem dedit dona hominibus quod autem ascendit quid est nisi quia et descendit primum in inferiores partes terrae qui descendit ipse est et qui ascendit super omnes caelos ut impleret omnia	quotation	Ps 67:19	ascendisti in altum cepisti captivitatem accepisti dona in hominibus  etenim non credentes inhabitare Dominum Deus
Ep 5:2	et ambulate in dilectione sicut et Christus dilexit nos et tradidit se ipsum pro nobis oblationem et hostiam Deo in odorem suavitatis	echo	Ps 39:7	sacrificium et oblationem noluisti aures autem perfecisti mihi  holocaustum et pro peccato non postulasti
Ga 1:5	cui est gloria in saecula saeculorum amen	echo	Ps 71:19	et benedictum nomen maiestatis eius in aeternum   et replebitur maiestate eius omnis terra fiat fiat
Ga 1:5	cui est gloria in saecula saeculorum amen	echo	Ps 83:5	beati qui habitant in domo tua in saecula saeculorum laudabunt te  diapsalma
Ga 1:5	cui est gloria in saecula saeculorum amen	echo	Ps 103:31	sit gloria Domini in saeculum laetabitur Dominus in operibus suis
Ga 2:16	scientes autem quod non iustificatur homo ex operibus legis nisi per fidem Iesu Christi et nos in Christo Iesu credidimus ut iustificemur ex fide Christi et non ex operibus legis propter quod ex operibus legis non iustificabitur omnis caro	echo	Ps 142:2	et non intres in iudicio cum servo tuo quia non iustificabitur in conspectu tuo omnis vivens
Ga 3:13	Christus nos redemit de maledicto legis factus pro nobis maledictum quia scriptum est maledictus omnis qui pendet in ligno	echo	Ps 21:7	ego autem sum vermis et non homo obprobrium hominum et abiectio plebis
Ga 3:16	abrahae dictae sunt promissiones et semini eius non dicit et seminibus quasi in multis sed quasi in uno et semini tuo qui est Christus	echo	Ps 88:38-52	et thronus eius sicut sol in conspectu meo  et sicut luna perfecta in aeternum et testis in caelo fidelis  diapsalma tu vero reppulisti et despexisti distulisti christum tuum evertisti testamentum servi tui profanasti in terram sanctuarium eius destruxisti omnes sepes eius posuisti firmamenta eius formidinem diripuerunt eum omnes transeuntes viam factus est obprobrium vicinis suis exaltasti dexteram deprimentium eum laetificasti omnes inimicos eius avertisti adiutorium gladii eius et non es auxiliatus ei in bello destruxisti eum a mundatione sedem eius in terram conlisisti minorasti dies temporis eius perfudisti eum confusione  diapsalma usquequo Domine avertis in finem exardescet sicut ignis ira tua memorare quae mea substantia numquid enim vane constituisti omnes filios hominum quis est homo qui vivet et non videbit mortem eruet animam suam de manu inferi  diapsalma ubi sunt misericordiae tuae antiquae Domine sicut iurasti David in veritate tua memor esto Domine obprobrii servorum tuorum quod continui in sinu meo multarum gentium quod exprobraverunt inimici tui Domine quod exprobraverunt commutationem christi tui
Ga 4:26	illa autem quae sursum est Hierusalem libera est quae est mater nostra	echo	Ps 86:5	numquid Sion dicet homo et homo natus est in ea et ipse fundavit eam Altissimus
Heb 2:6	testatus est autem in quodam loco quis dicens quid est homo quod memor es eius aut filius hominis quoniam visitas eum	quotation	Ps 143:3	Domine quid est homo quia innotuisti ei aut filius hominis quia reputas eum
Heb 7:24	hic autem eo quod maneat in aeternum sempiternum habet sacerdotium	echo	Ps 110:10	initium sapientiae timor Domini   intellectus bonus omnibus facientibus eum   laudatio eius manet in saeculum saeculi
Heb 10:8	superius dicens quia hostias et oblationes et holocaustomata et pro peccato noluisti nec placita sunt tibi quae secundum legem offeruntur	quotation	Ps 39:7	sacrificium et oblationem noluisti aures autem perfecisti mihi  holocaustum et pro peccato non postulasti
Heb 1:2	novissime diebus istis locutus est nobis in Filio quem constituit heredem universorum per quem fecit et saecula	echo	Ps 2:8	postula a me et dabo tibi gentes hereditatem tuam et possessionem tuam terminos terrae
Heb 1:3	qui cum sit splendor gloriae et figura substantiae eius portansque omnia verbo virtutis suae purgationem peccatorum faciens sedit ad dexteram Maiestatis in excelsis	echo	Ps 112:5	quis sicut Dominus Deus noster qui in altis habitat
Heb 1:3	qui cum sit splendor gloriae et figura substantiae eius portansque omnia verbo virtutis suae purgationem peccatorum faciens sedit ad dexteram Maiestatis in excelsis	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 1:3	qui cum sit splendor gloriae et figura substantiae eius portansque omnia verbo virtutis suae purgationem peccatorum faciens sedit ad dexteram Maiestatis in excelsis	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 1:5	cui enim dixit aliquando angelorum Filius meus es tu ego hodie genui te et rursum ego ero illi in Patrem et ipse erit mihi in Filium	quotation	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Heb 1:6	et cum iterum introducit primogenitum in orbem terrae dicit et adorent eum omnes angeli Dei	quotation	Ps 96:7	confundantur omnes qui adorant sculptilia qui gloriantur in simulacris suis  adorate eum omnes angeli eius
Heb 1:6	et cum iterum introducit primogenitum in orbem terrae dicit et adorent eum omnes angeli Dei	echo	Ps 88:28	et ego primogenitum ponam illum excelsum prae regibus terrae
Heb 1:7	et ad angelos quidem dicit qui facit angelos suos spiritus et ministros suos flammam ignis	quotation	Ps 103:4	qui facis angelos tuos spiritus et ministros tuos ignem urentem
Heb 1:13	ad quem autem angelorum dixit aliquando sede a dextris meis quoadusque ponam inimicos tuos scabillum pedum tuorum	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 1:14	nonne omnes sunt administratorii spiritus in ministerium missi propter eos qui hereditatem capient salutis	echo	Ps 33:8	vallabit angelus Domini in circuitu timentium eum et eripiet eos
Heb 1:10-12	et tu in principio Domine terram fundasti et opera manuum tuarum sunt caeli ipsi peribunt tu autem permanebis et omnes ut vestimentum veterescent et velut amictum involves eos et mutabuntur tu autem idem es et anni tui non deficient	quotation	Ps 101:26-28	initio tu Domine terram fundasti et opera manuum tuarum sunt caeli ipsi peribunt tu autem permanes et omnes sicut vestimentum veterescent et sicut opertorium mutabis eos et mutabuntur tu autem idem ipse es et anni tui non deficient
Heb 1:8-9	ad Filium autem thronus tuus Deus in saeculum saeculi et virga aequitatis virga regni tui dilexisti iustitiam et odisti iniquitatem propterea unxit te Deus Deus tuus oleo exultationis prae participibus tuis	quotation	Ps 44:7-8	sedis tua Deus in saeculum saeculi virga directionis virga regni tui dilexisti iustitiam et odisti iniquitatem propterea unxit te Deus Deus tuus oleo laetitiae prae consortibus tuis
Heb 2:6	testatus est autem in quodam loco quis dicens quid est homo quod memor es eius aut filius hominis quoniam visitas eum	quotation	Ps 8:5	quid est homo quod memor es eius aut filius hominis quoniam visitas eum
Heb 2:12	nuntiabo nomen tuum fratribus meis in medio ecclesiae laudabo te	quotation	Ps 21:23	narrabo nomen tuum fratribus meis in media ecclesia laudabo te
Heb 2:6-8	testatus est autem in quodam loco quis dicens quid est homo quod memor es eius aut filius hominis quoniam visitas eum minuisti eum paulo minus ab angelis gloria et honore coronasti eum et constituisti eum super opera manuum tuarum omnia subiecisti sub pedibus eius in eo enim quod ei omnia subiecit nihil dimisit non subiectum ei nunc autem necdum videmus omnia subiecta ei	quotation	Ps 8:5-7	quid est homo quod memor es eius aut filius hominis quoniam visitas eum minuisti eum paulo minus ab angelis gloria et honore coronasti eum et constituisti eum super opera manuum tuarum
Heb 2:9	eum autem qui modico quam angeli minoratus est videmus Iesum propter passionem mortis gloria et honore coronatum ut gratia Dei pro omnibus gustaret mortem	quotation	Ps 8:6	minuisti eum paulo minus ab angelis gloria et honore coronasti eum
Heb 3:2	qui fidelis est ei qui fecit illum sicut et Moses in omni domo illius	coincidence	Ps 149:2	laetetur Israhel in eo qui fecit eum et filii Sion exultent in rege suo
Heb 3:7-18	quapropter sicut dicit Spiritus Sanctus hodie si vocem eius audieritis nolite obdurare corda vestra sicut in exacerbatione secundum diem temptationis in deserto ubi temptaverunt me patres vestri probaverunt et viderunt opera mea quadraginta annos propter quod infensus fui generationi huic et dixi semper errant corde ipsi autem non cognoverunt vias meas sicut iuravi in ira mea si introibunt in requiem meam videte fratres ne forte sit in aliquo vestrum cor malum incredulitatis discedendi a Deo vivo sed adhortamini vosmet ipsos per singulos dies donec hodie cognominatur ut non obduretur quis ex vobis fallacia peccati participes enim Christi effecti sumus si tamen initium substantiae usque ad finem firmum retineamus dum dicitur hodie si vocem eius audieritis nolite obdurare corda vestra quemadmodum in illa exacerbatione quidam enim audientes exacerbaverunt sed non universi qui profecti sunt ab Aegypto per Mosen quibus autem infensus est quadraginta annos nonne illis qui peccaverunt quorum cadavera prostrata sunt in deserto quibus autem iuravit non introire in requiem ipsius nisi illis qui increduli fuerunt	quotation	Ps 94:7-11	quia ipse est Deus noster et nos populus pascuae eius et oves manus eius hodie si vocem eius audieritis  nolite obdurare corda vestra sicut in inritatione secundum diem temptationis in deserto  ubi temptaverunt me patres vestri probaverunt me et viderunt opera mea quadraginta annis offensus fui generationi illi et dixi semper errant corde et isti non cognoverunt vias meas  ut iuravi in ira mea si intrabunt in requiem meam
Heb 4:1-5	timeamus ergo ne forte relicta pollicitatione introeundi in requiem eius existimetur aliqui ex vobis deesse etenim et nobis nuntiatum est quemadmodum et illis sed non profuit illis sermo auditus non admixtis fidei ex his quae audierunt ingrediemur enim in requiem qui credidimus quemadmodum dixit sicut iuravi in ira mea si introibunt in requiem meam et quidem operibus ab institutione mundi factis dixit enim quodam loco de die septima sic et requievit Deus die septima ab omnibus operibus suis et in isto rursum si introibunt in requiem meam	quotation	Ps 94:11	et isti non cognoverunt vias meas  ut iuravi in ira mea si intrabunt in requiem meam
Heb 4:6-7	quoniam ergo superest quosdam introire in illam et hii quibus prioribus adnuntiatum est non introierunt propter incredulitatem iterum terminat diem quendam hodie in David dicendo post tantum temporis sicut supra dictum est hodie si vocem eius audieritis nolite obdurare corda vestra	quotation	Ps 94:7-8	quia ipse est Deus noster et nos populus pascuae eius et oves manus eius hodie si vocem eius audieritis  nolite obdurare corda vestra
Heb 5:5	sic et Christus non semet ipsum clarificavit ut pontifex fieret sed qui locutus est ad eum Filius meus es tu ego hodie genui te	quotation	Ps 2:7	Dominus dixit ad me filius meus es tu ego hodie genui te
Heb 5:6	quemadmodum et in alio dicit tu es sacerdos in aeternum secundum ordinem Melchisedech	quotation	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 5:7	qui in diebus carnis suae preces supplicationesque ad eum qui possit salvum illum a morte facere cum clamore valido et lacrimis offerens et exauditus pro sua reverentia	echo	Ps 21:25	timeat eum omne semen Israhel  quoniam non sprevit neque dispexit deprecationem pauperis nec avertit faciem suam a me et cum clamarem ad eum exaudivit me
Heb 5:10	appellatus a Deo pontifex iuxta ordinem Melchisedech	quotation	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 6:20	ubi praecursor pro nobis introiit Iesus secundum ordinem Melchisedech pontifex factus in aeternum	quotation	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 7:3	sine patre sine matre sine genealogia neque initium dierum neque finem vitae habens adsimilatus autem Filio Dei manet sacerdos in perpetuum	echo	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 7:11	si ergo consummatio per sacerdotium leviticum erat populus enim sub ipso legem accepit quid adhuc necessarium secundum ordinem Melchisedech alium surgere sacerdotem et non secundum ordinem Aaron dici	echo	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 7:15	et amplius adhuc manifestum est si secundum similitudinem Melchisedech exsurgit alius sacerdos	quotation	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 7:17	contestatur enim quoniam tu es sacerdos in aeternum secundum ordinem Melchisedech	quotation	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 7:21	hic autem cum iureiurando per eum qui dixit ad illum iuravit Dominus et non paenitebit tu es sacerdos in aeternum	quotation	Ps 109:4	iuravit Dominus et non paenitebit eum tu es sacerdos in aeternum secundum ordinem Melchisedech
Heb 8:1	capitulum autem super ea quae dicuntur talem habemus pontificem qui consedit in dextera sedis Magnitudinis in caelis	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 10:28	irritam quis faciens legem Mosi sine ulla miseratione duobus vel tribus testibus moritur	echo	Ps 108:12	non sit illi adiutor nec sit qui misereatur pupillis eius
Heb 10:30	scimus enim qui dixit mihi vindictam ego reddam et iterum quia iudicabit Dominus populum suum	echo	Ps 93:1	psalmus David quarta sabbati  Deus ultionum Dominus Deus ultionum libere egit
Heb 10:12-13	hic autem unam pro peccatis offerens hostiam in sempiternum sedit in dextera Dei de cetero expectans donec ponantur inimici eius scabillum pedum eius	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 10:12-13	hic autem unam pro peccatis offerens hostiam in sempiternum sedit in dextera Dei de cetero expectans donec ponantur inimici eius scabillum pedum eius	quotation	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 10:30	scimus enim qui dixit mihi vindictam ego reddam et iterum quia iudicabit Dominus populum suum	quotation	Ps 134:14	quia iudicabit Dominus populum suum et in servis suis deprecabitur
Heb 10:5-7	ideo ingrediens mundum dicit hostiam et oblationem noluisti corpus autem aptasti mihi holocaustomata et pro peccato non tibi placuit tunc dixi ecce venio in capitulo libri scriptum est de me ut faciam Deus voluntatem tuam	quotation	Ps 39:7-9	sacrificium et oblationem noluisti aures autem perfecisti mihi  holocaustum et pro peccato non postulasti tunc dixi ecce venio  in capite libri scriptum est de me ut facerem voluntatem tuam Deus meus volui et legem tuam in medio cordis mei
Heb 11:13	iuxta fidem defuncti sunt omnes isti non acceptis repromissionibus sed a longe eas aspicientes et salutantes et confitentes quia peregrini et hospites sunt supra terram	echo	Ps 38:13	exaudi orationem meam Domine et deprecationem meam auribus percipe lacrimas meas  ne sileas quoniam advena sum apud te et peregrinus sicut omnes patres mei
Heb 11:26	maiores divitias aestimans thesauro Aegyptiorum inproperium Christi aspiciebat enim in remunerationem	coincidence	Ps 68:10	quoniam zelus domus tuae comedit me et obprobria exprobrantium tibi ceciderunt super me
Heb 11:26	maiores divitias aestimans thesauro Aegyptiorum inproperium Christi aspiciebat enim in remunerationem	coincidence	Ps 88:51	memor esto Domine obprobrii servorum tuorum quod continui in sinu meo multarum gentium
Heb 11:33	qui per fidem devicerunt regna operati sunt iustitiam adepti sunt repromissiones obturaverunt ora leonum	echo	Ps 14:2	qui ingreditur sine macula et operatur iustitiam
Heb 12:14	pacem sequimini cum omnibus et sanctimoniam sine qua nemo videbit Dominum	echo	Ps 33:15	deverte a malo et fac bonum inquire pacem et persequere eam
Heb 12:22	sed accessistis ad Sion montem et civitatem Dei viventis Hierusalem caelestem et multorum milium angelorum frequentiae	coincidence	Ps 73:2	memor esto congregationis tuae quam possedisti ab initio  redemisti virgam hereditatis tuae mons Sion in quo habitasti in eo
Heb 12:26	cuius vox movit terram tunc modo autem repromittit dicens adhuc semel ego movebo non solum terram sed et caelum	echo	Ps 45:7	conturbatae sunt gentes inclinata sunt regna dedit vocem suam mota est terra
Heb 12:26	cuius vox movit terram tunc modo autem repromittit dicens adhuc semel ego movebo non solum terram sed et caelum	echo	Ps 76:19	vox tonitrui tui in rota  inluxerunt coruscationes tuae orbi terrae commota est et contremuit terra
Heb 12:2	aspicientes in auctorem fidei et consummatorem Iesum qui pro proposito sibi gaudio sustinuit crucem confusione contempta atque in dextera sedis Dei sedit	echo	Ps 109:1	david psalmus  dixit Dominus Domino meo sede a dextris meis  donec ponam inimicos tuos scabillum pedum tuorum
Heb 13:6	ita ut confidenter dicamus Dominus mihi adiutor non timebo quid faciat mihi homo	quotation	Ps 117:6	Dominus mihi adiutor non timebo quid faciat mihi homo
Heb 13:8	Iesus Christus heri et hodie ipse et in saecula	echo	Ps 101:28	tu autem idem ipse es et anni tui non deficient
Heb 13:14-15	non enim habemus hic manentem civitatem sed futuram inquirimus per ipsum ergo offeramus hostiam laudis semper Deo id est fructum labiorum confitentium nomini eius	echo	Ps 49:14	immola Deo sacrificium laudis et redde Altissimo vota tua
Heb 13:14-15	non enim habemus hic manentem civitatem sed futuram inquirimus per ipsum ergo offeramus hostiam laudis semper Deo id est fructum labiorum confitentium nomini eius	echo	Ps 49:23	sacrificium laudis honorificabit me et illic iter quod ostendam illi salutare Dei
Jm 5:18	et rursum oravit et caelum dedit pluviam et terra dedit fructum suum	echo	Ps 66:7	terra dedit fructum suum  benedicat nos Deus Deus noster
Jm 5:18	et rursum oravit et caelum dedit pluviam et terra dedit fructum suum	echo	Ps 84:13	etenim Dominus dabit benignitatem et terra nostra dabit fructum suum
Jm 1:17	omne datum optimum et omne donum perfectum desursum est descendens a Patre luminum apud quem non est transmutatio nec vicissitudinis obumbratio	echo	Ps 135:7	qui fecit luminaria magna quoniam in aeternum misericordia eius
Jm 1:18	voluntarie genuit nos verbo veritatis ut simus initium aliquod creaturae eius	echo	Ps 118:43	et ne auferas de ore meo verbum veritatis usquequaque quia in iudiciis tuis supersperavi
Jm 1:25	qui autem perspexerit in lege perfecta libertatis et permanserit non auditor obliviosus factus sed factor operis hic beatus in facto suo erit	echo	Ps 18:8	lex Domini inmaculata convertens animas testimonium Domini fidele sapientiam praestans parvulis
Jm 1:26	si quis autem putat se religiosum esse non refrenans linguam suam sed seducens cor suum huius vana est religio	echo	Ps 33:14	prohibe linguam tuam a malo et labia tua ne loquantur dolum
Jm 1:27	religio munda et inmaculata apud Deum et Patrem haec est visitare pupillos et viduas in tribulatione eorum inmaculatum se custodire ab hoc saeculo	echo	Ps 9:35	vides quoniam tu laborem et dolorem consideras ut tradas eos in manus tuas  tibi derelictus est pauper orfano tu eras adiutor
Jm 3:3	si autem equorum frenos in ora mittimus ad consentiendum nobis et omne corpus illorum circumferimus	echo	Ps 31:9	nolite fieri sicut equus et mulus quibus non est intellectus  in camo et freno maxillas eorum constringe qui non adproximant ad te
Jm 3:8	linguam autem nullus hominum domare potest inquietum malum plena veneno mortifero	echo	Ps 139:4	acuerunt linguam suam sicut serpentis venenum aspidum sub labiis eorum  diapsalma
Jm 4:8	adpropiate Domino et adpropinquabit vobis emundate manus peccatores et purificate corda duplices animo	echo	Ps 17:21	et retribuet mihi Dominus secundum iustitiam meam et secundum puritatem manuum mearum retribuet mihi
Jm 4:8	adpropiate Domino et adpropinquabit vobis emundate manus peccatores et purificate corda duplices animo	echo	Ps 17:25	et retribuet mihi Dominus secundum iustitiam meam et secundum puritatem manuum mearum in conspectu oculorum eius
Jm 4:11	nolite detrahere de alterutrum fratres qui detrahit fratri aut qui iudicat fratrem suum detrahit legi et iudicat legem si autem iudicas legem non es factor legis sed iudex	echo	Ps 100:5	detrahentem secreto proximo suo hunc persequebar  superbo oculo et insatiabili corde cum hoc non edebam
Jm 4:14	qui ignoratis quid erit in crastinum quae enim est vita vestra vapor est ad modicum parens deinceps exterminatur	echo	Ps 38:6	ecce mensurabiles posuisti dies meos et substantia mea tamquam nihilum ante te  verumtamen universa vanitas omnis homo vivens  diapsalma
Jm 5:3	aurum et argentum vestrum eruginavit et erugo eorum in testimonium vobis erit et manducabit carnes vestras sicut ignis thesaurizastis in novissimis diebus	echo	Ps 20:10	pones eos ut clibanum ignis in tempore vultus tui Dominus in ira sua conturbabit eos et devorabit eos ignis
Jm 5:4	ecce merces operariorum qui messuerunt regiones vestras qui fraudatus est a vobis clamat et clamor ipsorum in aures Domini Sabaoth introiit	echo	Ps 17:7	cum tribularer invocavi Dominum et ad Deum meum clamavi  exaudivit de templo sancto suo vocem meam et clamor meus in conspectu eius introibit in aures eius
Jm 5:6	addixistis occidistis iustum non resistit vobis	echo	Ps 36:14	gladium evaginaverunt peccatores intenderunt arcum suum  ut decipiant pauperem et inopem ut trucident rectos corde
Jm 5:6	addixistis occidistis iustum non resistit vobis	echo	Ps 36:32	considerat peccator iustum et quaerit mortificare eum
Jm 5:11	ecce beatificamus qui sustinuerunt sufferentiam Iob audistis et finem Domini vidistis quoniam misericors est Dominus et miserator	echo	Ps 102:8	miserator et misericors Dominus longanimis et multum misericors
Jm 5:11	ecce beatificamus qui sustinuerunt sufferentiam Iob audistis et finem Domini vidistis quoniam misericors est Dominus et miserator	echo	Ps 110:4	memoriam fecit mirabilium suorum   misericors et miserator Dominus
Jm 5:13	tristatur aliquis vestrum oret aequo animo est psallat	echo	Ps 49:15	et invoca me in die tribulationis et eruam te et honorificabis me  diapsalma
Jm 5:13	tristatur aliquis vestrum oret aequo animo est psallat	echo	Ps 90:15	clamabit ad me et exaudiam eum cum ipso sum in tribulatione eripiam eum et clarificabo eum
Jm 5:20	scire debet quoniam qui converti fecerit peccatorem ab errore viae suae salvabit animam eius a morte et operit multitudinem peccatorum	echo	Ps 31:1	huic David intellectus  beati quorum remissae sunt iniquitates et quorum tecta sunt peccata
Jm 5:20	scire debet quoniam qui converti fecerit peccatorem ab errore viae suae salvabit animam eius a morte et operit multitudinem peccatorum	echo	Ps 84:3	remisisti iniquitates plebis tuae operuisti omnia peccata eorum  diapsalma
Jn 3:13	et nemo ascendit in caelum nisi qui descendit de caelo Filius hominis qui est in caelo	echo	Ps 138:8	si ascendero in caelum tu illic es si descendero ad infernum ades
Jn 4:41	et multo plures crediderunt propter sermonem eius	echo	Ps 105:24	et pro nihilo habuerunt terram desiderabilem  non crediderunt verbo eius
Jn 10:3	huic ostiarius aperit et oves vocem eius audiunt et proprias oves vocat nominatim et educit eas	echo	Ps 99:3	scitote quoniam Dominus ipse est Deus ipse fecit nos et non ipsi  nos populus eius et oves pascuae eius
Jn 1:17	quia lex per Mosen data est gratia et veritas per Iesum Christum facta est	coincidence	Ps 39:11	iustitiam tuam non abscondi in corde meo veritatem tuam et salutare tuum dixi  non abscondi misericordiam tuam et veritatem tuam a concilio multo
Jn 1:17	quia lex per Mosen data est gratia et veritas per Iesum Christum facta est	echo	Ps 24:10	universae viae Domini misericordia et veritas requirentibus testamentum eius et testimonia eius
Jn 1:17	quia lex per Mosen data est gratia et veritas per Iesum Christum facta est	echo	Ps 84:11	misericordia et veritas obviaverunt sibi iustitia et pax osculatae sunt
Jn 1:41	invenit hic primum fratrem suum Simonem et dicit ei invenimus Messiam quod est interpretatum Christus	coincidence	Ps 2:2	adstiterunt reges terrae et principes convenerunt in unum adversus Dominum et adversus christum eius diapsalma
